Time;mean waiting time;total number of callers actually waiting
943;5.11669658886894;0
944;5.11669658886894;0
945;5.11669658886894;1
946;5.11669658886894;1
947;5.0837789661319075;1
948;5.0837789661319075;1
949;5.076512455516014;2
950;5.067495559502665;2
951;5.0638297872340425;2
952;5.0638297872340425;1
953;5.0638297872340425;2
954;5.0638297872340425;1
955;5.0638297872340425;2
956;5.0638297872340425;2
957;5.0638297872340425;3
958;5.0638297872340425;4
959;5.0638297872340425;4
960;5.056637168141593;4
961;5.056637168141593;3
962;5.056637168141593;4
963;5.049469964664311;3
964;5.049469964664311;3
965;5.049469964664311;4
966;5.044091710758377;4
967;5.036971830985915;4
968;5.031634446397188;3
969;5.031634446397188;5
970;5.031634446397188;4
971;5.071929824561403;5
972;5.113835376532399;6
973;5.113835376532399;6
974;5.104895104895105;5
975;5.0959860383944156;3
976;5.08;3
977;5.08;4
978;5.062391681109186;3
979;5.062391681109186;2
980;5.062391681109186;2
981;5.057093425605537;2
982;5.057093425605537;3
983;5.057093425605537;2
984;5.051813471502591;2
985;5.051813471502591;1
986;5.051813471502591;2
987;5.043103448275862;2
988;5.043103448275862;1
989;5.043103448275862;2
990;5.043103448275862;2
991;5.036144578313253;2
992;5.036144578313253;2
993;5.02229845626072;2
994;5.02229845626072;1
995;5.027303754266212;2
996;5.027303754266212;2
997;5.018739352640545;1
998;5.018739352640545;1
999;5.018739352640545;1
1000;5.006791171477079;1
1001;5.006791171477079;1
1002;5.006791171477079;1
1003;5.006791171477079;0
1004;5.0288135593220336;0
1005;5.0288135593220336;0
1006;5.028716216216216;1
1007;5.023608768971332;1
1008;5.0286195286195285;2
1009;5.026890756302521;1
1010;5.023489932885906;0
1011;5.058626465661642;0
1012;5.058626465661642;0
1013;5.058626465661642;1
1014;5.058626465661642;1
1015;5.058626465661642;0
1016;5.058626465661642;1
1017;5.045075125208681;1
1018;5.045075125208681;1
1019;5.045075125208681;2
1020;5.045075125208681;1
1021;5.045075125208681;1
1022;5.083333333333333;0
1023;5.083333333333333;1
1024;5.083333333333333;0
1025;5.083333333333333;1
1026;5.083333333333333;1
1027;5.091514143094842;0
1028;5.083056478405315;1
1029;5.066225165562914;0
1030;5.066225165562914;1
1031;5.066225165562914;1
1032;5.066225165562914;0
1033;5.066225165562914;2
1034;5.066225165562914;1
1035;5.066225165562914;1
1036;5.0578512396694215;1
1037;5.054455445544554;0
1038;5.049423393739703;2
1039;5.049423393739703;1
1040;5.042763157894737;1
1041;5.0344827586206895;1
1042;5.0344827586206895;0
1043;5.0344827586206895;0
1044;5.026229508196721;1
1045;5.018003273322423;0
1046;5.018003273322423;1
1047;5.009803921568627;1
1048;5.009803921568627;1
1049;5.009803921568627;1
1050;4.993485342019544;1
1051;4.9869918699186995;2
1052;4.982142857142857;3
1053;4.975688816855754;3
1054;4.972491909385114;5
1055;4.972491909385114;5
1056;4.972491909385114;6
1057;4.966074313408724;4
1058;4.961290322580645;4
1059;4.956521739130435;5
1060;4.956521739130435;5
1061;4.956521739130435;5
1062;4.956521739130435;3
1063;4.951768488745981;5
1064;4.951768488745981;5
1065;4.951768488745981;7
1066;4.9375;6
1067;4.9375;5
1068;4.936;6
1069;4.931309904153355;5
1070;4.931309904153355;6
1071;4.917197452229299;5
1072;4.910969793322734;5
1073;4.910969793322734;5
1074;4.910969793322734;4
1075;4.910969793322734;5
1076;4.9001584786053884;5
1077;4.9001584786053884;5
1078;4.893987341772152;5
1079;4.893987341772152;5
1080;4.893987341772152;5
1081;4.893987341772152;5
1082;4.893987341772152;5
1083;4.893987341772152;4
1084;4.893987341772152;6
1085;4.893987341772152;6
1086;4.884858044164038;5
1087;4.884858044164038;6
1088;4.891338582677165;6
1089;4.891338582677165;6
1090;4.891338582677165;7
1091;4.891338582677165;8
1092;4.8948194662480375;9
1093;4.8948194662480375;9
1094;4.894984326018808;8
1095;4.894984326018808;8
1096;4.89358372456964;9
1097;4.89358372456964;9
1098;4.9078125;10
1099;4.9078125;7
1100;4.90015600624025;9
1101;4.90015600624025;7
1102;4.90015600624025;7
1103;4.928348909657321;7
1104;4.947286821705426;8
1105;4.939628482972136;8
1106;4.931993817619784;8
1107;4.931993817619784;4
1108;4.924382716049383;5
1109;4.924382716049383;5
1110;4.9399075500770415;6
1111;4.935384615384615;6
1112;4.927803379416282;5
1113;4.921779141104294;4
1114;4.921779141104294;5
1115;4.915773353751915;5
1116;4.909785932721713;5
1117;4.909785932721713;3
1118;4.909785932721713;4
1119;4.909785932721713;5
1120;4.909785932721713;5
1121;4.902290076335878;5
1122;4.902290076335878;6
1123;4.902290076335878;4
1124;4.902290076335878;4
1125;4.896341463414634;5
1126;4.896341463414634;5
1127;4.890410958904109;6
1128;4.890410958904109;7
1129;4.890410958904109;6
1130;4.912121212121212;5
1131;4.954682779456193;5
1132;4.947209653092006;7
1133;4.966867469879518;7
1134;4.981954887218045;7
1135;4.976047904191617;6
1136;4.968609865470852;4
1137;4.967164179104477;2
1138;4.965722801788376;0
1139;4.965722801788376;1
1140;4.958333333333333;1
1141;4.958333333333333;1
1142;5;1
1143;5.0385756676557865;2
1144;5.107828655834564;1
1145;5.107828655834564;1
1146;5.107828655834564;1
1147;5.107828655834564;1
1148;5.100294985250738;2
1149;5.086764705882353;0
1150;5.086764705882353;1
1151;5.065885797950219;1
1152;5.065885797950219;1
1153;5.056934306569343;2
1154;5.056934306569343;3
1155;5.037790697674419;3
1156;5.030478955007257;1
1157;5.030478955007257;2
1158;5.030478955007257;2
1159;5.030478955007257;2
1160;5.066666666666666;2
1161;5.114161849710983;2
1162;5.114161849710983;3
1163;5.114161849710983;2
1164;5.142857142857143;2
1165;5.138328530259366;3
1166;5.138328530259366;2
1167;5.138328530259366;3
1168;5.138328530259366;3
1169;5.132374100719424;4
1170;5.132374100719424;3
1171;5.132374100719424;4
1172;5.1205164992826395;4
1173;5.114613180515759;3
1174;5.104285714285714;2
1175;5.104285714285714;3
1176;5.09700427960057;2
1177;5.09700427960057;3
1178;5.09700427960057;2
1179;5.095441595441596;3
1180;5.095441595441596;2
